"filename","min","max","mean","median","sd","skewness","kurtosis"
"Kodak_M1063_0_9466.dat",-2147483585,2147482434,-8157827.03248805,433410,1239241463.32658,0.000191617477802523,1.80533103632561
"Kodak_M1063_0_9467.dat",-2147483580,2147482818,-8957354.49169409,32824,1239772207.16379,0.00160237932288121,1.80444541363725
"Kodak_M1063_0_9786.dat",-2147483582,2147483203,-8460641.74913181,215940,1239285828.24936,0.000788062391195701,1.80501280173767
"Kodak_M1063_0_9787.dat",-2147483581,2147483459,-8095709.32174596,550594.5,1239449539.32502,-0.000136572171917345,1.80493693887313
"Kodak_M1063_0_9788.dat",-2147483582,2147482947,-7704439.995209,966721.5,1239574823.67421,-0.000602084434699748,1.80441505972504
"Kodak_M1063_0_9789.dat",-2147483585,2147483330,-7169321.14365365,1056830.5,1239376422.84875,-0.000763364706541971,1.80511287694135
"Kodak_M1063_0_9790.dat",-2147483585,2147483074,-8114523.66490253,304194,1239422420.73443,0.000296540508192513,1.80484169908713
"Kodak_M1063_0_9791.dat",-2147483324,2147483587,-7338386.75842842,1107264.5,1239466160.60505,-0.000777164011984405,1.80494963281822
"Kodak_M1063_0_9840.dat",-2147483583,2147483458,-8396684.18910115,87297.5,1239436433.27346,0.000717167793250076,1.80490736728826
"Kodak_M1063_0_9841.dat",-2147483580,2147482947,-8036515.08285174,519297,1239150498.26611,5.50489348726608e-05,1.80540260059827
"Kodak_M1063_0_9842.dat",-2147483451,2147483588,-7880760.78664937,740931.5,1239366195.47267,-0.000217816953558483,1.80475496079421
"Kodak_M1063_0_9843.dat",-2147483580,2147483203,-7977976.49744361,461636.5,1239602160.98741,-5.39915582643228e-05,1.80463736755123
"Kodak_M1063_0_9844.dat",-2147483581,2147483460,-8592943.73215872,328192,1239146164.35364,0.000361843083079584,1.80536779396406
"Kodak_M1063_0_9845.dat",-2147483580,2147483588,-7856961.10194309,586561,1239368404.65537,-6.18957664150891e-05,1.80519709546335
"Kodak_M1063_0_9846.dat",-2147483581,2147483203,-7378505.78179317,936321,1239149113.67145,-0.000916250643200227,1.80573000488454
"Kodak_M1063_0_9847.dat",-2147483584,2147483587,-7801292.02696592,954820,1239589755.26495,-0.000642788781236775,1.80482207290762
"Kodak_M1063_0_9848.dat",-2147483584,2147483202,-8338363.69373498,536578,1239445143.24276,2.34128412675019e-05,1.8049823210662
"Kodak_M1063_0_9849.dat",-2147483583,2147483203,-8287689.08132135,381057,1239657982.89905,0.000131385642582594,1.80452598381002
"Kodak_M1063_0_9932.dat",-2147483581,2147483203,-7665858.03623805,732033,1239349614.01837,-0.000345561565777217,1.80484729260954
"Kodak_M1063_0_9933.dat",-2147483581,2147483586,-7460903.70337657,956094,1239682473.21072,-0.000371786598673741,1.80482937488884
"Kodak_M1063_0_9934.dat",-2147483454,2147483458,-7843862.43722102,670399,1239297700.85158,-0.000294900936192644,1.80483308998032
"Kodak_M1063_0_9935.dat",-2147483582,2147482947,-7770533.66826633,827841.5,1239421143.17581,-0.000489596473447977,1.80483697721908
"Kodak_M1063_0_9936.dat",-2147483582,2147483202,-8410851.31958286,119106.5,1239119930.58335,0.000767964669322617,1.80526297320722
"Kodak_M1063_0_9937.dat",-2147483452,2147483459,-7637988.51027415,760962,1239576991.15553,-0.000432774837679968,1.80450826907381
"Kodak_M1063_0_9938.dat",-2147483580,2147482689,-8457135.92158971,193153.5,1239613402.0824,0.000618180295028889,1.80476004510784
"Kodak_M1063_0_9939.dat",-2147483580,2147483588,-8137491.05670698,478403.5,1239489679.20201,0.000189014199560055,1.80459886193539
"Kodak_M1063_0_9940.dat",-2147483579,2147483459,-7910747.92682188,645184,1239642787.78919,-0.000230845673827516,1.8044604722109
"Kodak_M1063_0_9941.dat",-2147483580,2147483587,-8560829.45120275,296254.5,1239242517.39297,0.000504654326125173,1.80507269419797
"Kodak_M1063_0_9942.dat",-2147483582,2147483587,-7382396.47461557,1065411,1239375632.01705,-0.000991912645385271,1.80504529043921
"Kodak_M1063_0_9943.dat",-2147483580,2147483586,-8173441.79396503,476289.5,1239435998.83554,-0.00023868696100726,1.80478189398314
"Kodak_M1063_0_9944.dat",-2147483581,2147483330,-8142707.88890039,326337.5,1239255246.20606,0.000436212760558064,1.80528804810481
"Kodak_M1063_1_10042.dat",-2147483586,2147483331,-8184469.64281069,629442,1239214613.52182,-0.000261230443157662,1.8053682369253
"Kodak_M1063_1_10043.dat",-2147483453,2147483459,-7977632.64999282,567234,1239558933.82921,-0.000137420403923455,1.80487410479347
"Kodak_M1063_1_10044.dat",-2147483583,2147482691,-8443157.74211654,244864.5,1239544603.38776,0.00066696494126142,1.80459638233946
"Kodak_M1063_1_10045.dat",-2147483579,2147483459,-7881775.33560404,725313.5,1239295444.03075,-0.000320994463079839,1.80497216231589
"Kodak_M1063_1_10046.dat",-2147483581,2147482819,-8019652.28330946,739330,1239146332.51043,-0.000186666081478961,1.80562618108603
"Kodak_M1063_1_10047.dat",-2147483580,2147482691,-7638507.87694837,833602.5,1239561325.73091,-0.000454560841981175,1.80484048285053
"Kodak_M1063_1_10048.dat",-2147483582,2147482308,-7991452.72031019,703552.5,1239289693.55981,-0.00025544780932618,1.8051977037262
"Kodak_M1063_1_10049.dat",-2147483453,2147483587,-7725912.62915263,559104.5,1239254380.90332,-0.000188283101117282,1.8052993520607
"Kodak_M1063_1_10050.dat",-2147483581,2147482819,-8638754.31239979,280322.5,1239278035.79373,0.000334158662054363,1.80496546665368
"Kodak_M1063_1_10051.dat",-2147483585,2147483587,-8097102.02528655,634689,1239651065.77169,-5.98184462106986e-05,1.80457218260483
"Kodak_M1063_1_10052.dat",-2147483582,2147483075,-8304497.88372037,291072,1239653963.55867,0.000342371232627864,1.80428192812956
"Kodak_M1063_1_10053.dat",-2147483585,2147483331,-7922222.41976906,545283.5,1239327798.10328,-0.00034854576776807,1.80505710485722
"Kodak_M1063_1_10091.dat",-2147483454,2147482178,-9116418.73449016,32953,1239415419.52958,0.00130614261334394,1.80486612911809
"Kodak_M1063_1_10092.dat",-2147483580,2147483459,-8260018.68887923,290242,1238925900.12555,0.000214796349883835,1.80578619802835
"Kodak_M1063_1_10093.dat",-2147483581,2147483331,-8056776.91521305,571904.5,1239303703.89768,-5.60586444255009e-05,1.80491705406933
"Kodak_M1063_1_10094.dat",-2147483581,2147483331,-7660228.95544184,923715.5,1239508337.85582,-0.000536702246571709,1.80474954971105
"Kodak_M1063_1_10095.dat",-2147483582,2147483075,-7903453.39742436,592447.5,1239106360.70986,-7.59868211018662e-05,1.80553936244068
"Kodak_M1063_1_10426.dat",-2147483583,2147483204,-7776553.8475793,793536.5,1239509481.17323,-0.000109620086195884,1.80455987125238
"Kodak_M1063_1_10427.dat",-2147483585,2147483587,-7948891.67155753,844609,1239512910.72007,-0.000190226761911832,1.8046831810036
"Kodak_M1063_1_10428.dat",-2147483580,2147483588,-8217423.32052176,464832.5,1239594857.99351,3.87123882076205e-05,1.80449794748836
"Kodak_M1063_1_10429.dat",-2147483581,2147483459,-8266159.4469005,301184.5,1239204333.11745,0.000354573308074178,1.80507220210997
"Kodak_M1063_1_10430.dat",-2147483582,2147483331,-7960920.29834798,375103.5,1239540980.85433,0.000154808671771596,1.80476275450864
"Kodak_M1063_1_10431.dat",-2147483580,2147483584,-8077533.9965706,665729.5,1239097796.34374,-0.000237792566816748,1.80566517506554
"Kodak_M1063_1_10480.dat",-2147483581,2147483586,-8266103.88991935,541634.5,1239574616.69401,-0.000112978188865185,1.80483557036711
"Kodak_M1063_1_10481.dat",-2147483581,2147483203,-7536492.69167786,759043,1239713325.90646,-0.000473060970508916,1.8046524752091
"Kodak_M1063_1_10482.dat",-2147483457,2147483204,-7457813.30265396,855875.5,1239371315.75254,-0.00056674335493416,1.80539168258037
"Kodak_M1063_1_10483.dat",-2147483325,2147483204,-7782292.49158995,688835,1239507300.32153,0.000190691862574602,1.804612843159
"Kodak_M1063_1_10484.dat",-2147483581,2147483203,-7812644.82930236,887936,1239469090.12857,-0.000464274798169629,1.80494767585993
"Kodak_M1063_1_10485.dat",-2147483581,2147482946,-8378518.01913887,354560.5,1239617266.69857,0.000238296545580507,1.80461805013287
"Kodak_M1063_1_10486.dat",-2147483580,2147483331,-8312204.73812644,423616,1239743440.17902,0.00041692354254628,1.80427525299721
"Kodak_M1063_1_10487.dat",-2147483580,2147483459,-7675888.13904128,749121,1239414090.56096,-0.000175123435471846,1.80514149734404
"Kodak_M1063_1_10488.dat",-2147483584,2147483459,-7876961.22017824,811520,1239480988.91417,-0.000406453488309506,1.80462530868913
"Kodak_M1063_1_10489.dat",-2147483452,2147483586,-7263921.64796574,974272.5,1239582570.50813,-0.000928325790024647,1.80469348529374
"Kodak_M1063_1_10576.dat",-2147483580,2147482308,-8787103.19522366,69571,1239388075.57561,0.000766513513574768,1.80478346507072
"Kodak_M1063_1_10577.dat",-2147483453,2147483331,-8703373.27073496,55353.5,1239479440.11892,0.000850744439089829,1.80496328137168
"Kodak_M1063_1_10578.dat",-2147483452,2147482179,-8286642.45273413,372033.5,1239425861.43638,0.00012636704691597,1.80469795317353
"Kodak_M1063_1_10579.dat",-2147483584,2147483588,-7975929.77421124,914177.5,1239456235.53351,-0.000533218474188905,1.80495002353291
"Kodak_M1063_1_10580.dat",-2147483583,2147483586,-7867766.65824326,932546,1239239207.61575,-0.000531372694283223,1.80493233502035
"Kodak_M1063_1_10581.dat",-2147483456,2147483586,-7822508.74327578,736451,1239301017.53943,-0.00018665898191082,1.80498678847314
"Kodak_M1063_1_10582.dat",-2147483580,2147482051,-7771129.06638433,511872,1239505926.94796,-0.000130897353581361,1.80468909636918
"Kodak_M1063_1_10583.dat",-2147483580,2147482691,-7803759.83666823,847617.5,1239615659.5578,-0.000136673289954889,1.8043958548118
"Kodak_M1063_1_10584.dat",-2147483324,2147482690,-8187285.89135846,465217,1239191775.33152,0.000346695568027723,1.80538739490707
"Kodak_M1063_1_10585.dat",-2147483581,2147482692,-8226489.3256641,350656.5,1239522810.19368,0.000186379467895359,1.804797058188
"Kodak_M1063_1_10586.dat",-2147483584,2147483331,-7618152.23443951,808385,1239607224.83126,-0.000580795877902591,1.80458756634075
"Kodak_M1063_1_10587.dat",-2147483583,2147481794,-7675216.35115594,825343.5,1239429244.13373,-0.000390849401370555,1.80488200083211
"Kodak_M1063_1_10662.dat",-2147483582,2147483460,-8385049.29693429,625792.5,1239515503.22544,-0.00017988486299214,1.80471366455391
"Kodak_M1063_1_10663.dat",-2147483453,2147482179,-8015491.42229402,431422.5,1239035457.14985,7.45611647835794e-05,1.80561276580351
"Kodak_M1063_1_10664.dat",-2147483454,2147483330,-7464341.45721958,1065345,1239312735.86676,-0.0007094856832718,1.80509579191953
"Kodak_M1063_1_10665.dat",-2147483584,2147483458,-7339679.03344766,935551,1239814234.53998,-0.000969629675344557,1.80393748200006
"Kodak_M1063_1_10666.dat",-2147483325,2147483075,-8035768.94144173,533249,1239353371.58464,4.58343725475663e-05,1.80513719292472
"Kodak_M1063_1_10667.dat",-2147483584,2147483330,-7551893.27305433,1074689.5,1239378770.95585,-0.000725719630379141,1.80517545321
"Kodak_M1063_1_10668.dat",-2147483452,2147483202,-7664679.99133679,767681,1239271202.71523,-0.000467145780658943,1.8051840671001
"Kodak_M1063_1_10669.dat",-2147483581,2147483204,-8379226.25060351,392001.5,1239355768.79349,-1.7347273491484e-05,1.80515196759853
"Kodak_M1063_1_10670.dat",-2147483580,2147483587,-8011229.64668782,491137.5,1239542792.96147,0.000250667045563881,1.80408929463469
"Kodak_M1063_1_10671.dat",-2147483581,2147483588,-7598433.91317678,966591.5,1239449097.88257,-0.000490796640539377,1.80502971214216
"Kodak_M1063_1_10672.dat",-2147483580,2147483457,-7477967.48128716,930945,1239392227.84858,-0.000523292954748061,1.80503514181413
"Kodak_M1063_1_10673.dat",-2147483580,2147483585,-8317728.70894846,628289.5,1239543294.39491,0.000210944865113625,1.80468282773788
"Kodak_M1063_2_10683.dat",-2147483580,2147482948,-7719524.13693891,898755.5,1239257130.3226,-0.000778674630388061,1.80512468068469
"Kodak_M1063_2_10684.dat",-2147483583,2147482435,-8177298.14290956,195905,1239227906.69597,0.000505101342864536,1.80525278048811
"Kodak_M1063_2_10685.dat",-2147483583,2147483587,-8099602.63736975,666818,1239316984.20899,-3.78857831601194e-05,1.80504707917595
"Kodak_M1063_2_10686.dat",-2147483453,2147483587,-8069646.75117131,597504.5,1239384906.79432,-6.14870474834781e-05,1.80498657444713
"Kodak_M1063_2_10687.dat",-2147483581,2147483586,-7710993.42503748,1193412,1238958090.48854,-0.000680381643667267,1.80549580021344
"Kodak_M1063_2_10688.dat",-2147483584,2147482819,-8273983.710341,508160.5,1239198069.21954,8.46417852948656e-05,1.80516363459929
"Kodak_M1063_2_10689.dat",-2147483457,2147482690,-8346407.59429799,335362.5,1239348915.64077,0.000183425425614593,1.80504248555707
"Kodak_M1063_2_10690.dat",-2147483581,2147483587,-7669862.69531146,970944.5,1239549483.82457,-0.000690261257782297,1.80491675241463
"Kodak_M1063_2_10691.dat",-2147483583,2147483331,-7956939.64618378,504577.5,1239716170.03343,-0.000162732230194087,1.80417786470739
"Kodak_M1063_2_10692.dat",-2147483582,2147483204,-8149055.50522735,649729,1239729380.21357,-0.000119307012860961,1.80427355539601
"Kodak_M1063_2_10693.dat",-2147483584,2147483587,-8143835.24814246,468356,1239477445.07808,0.00025870626515416,1.80469573955702
"Kodak_M1063_2_10694.dat",-2147483580,2147482946,-8329121.42732204,306239.5,1239531653.67439,0.000537924036039836,1.8049382314863
"Kodak_M1063_2_10727.dat",-2147483583,2147482690,-8062154.58290602,368642.5,1239403329.0652,0.000298452237936645,1.80505557713903
"Kodak_M1063_2_10728.dat",-2147483455,2147482307,-8020288.92872873,480960.5,1239538614.40152,7.07435877798902e-05,1.8047504821325
"Kodak_M1063_2_10729.dat",-2147483580,2147483075,-7583370.96079061,813506,1239675883.93502,-0.000194312005621513,1.80434674159689
"Kodak_M1063_2_10733.dat",-2147483580,2147483586,-7635920.41957211,707137.5,1239708345.13646,-6.89760302963954e-05,1.80439954716141
"Kodak_M1063_2_10734.dat",-2147483585,2147483586,-7695289.26529879,563268,1239526041.70868,3.25879340472823e-05,1.80491240773148
"Kodak_M1063_2_10735.dat",-2147483325,2147483458,-8484118.15751978,266052,1239536611.4983,0.000415563033259948,1.80441527167534
"Kodak_M1063_2_10736.dat",-2147483583,2147482819,-7837478.73891721,1084287.5,1239232096.30091,-0.000714443663548636,1.80564912598568
"Kodak_M1063_2_11061.dat",-2147483581,2147483459,-8487939.90517627,159618.5,1239415028.67586,0.000653786412643033,1.80492543600862
"Kodak_M1063_2_11062.dat",-2147483325,2147483204,-8928260.22083647,71364,1239785667.94745,0.000585494462927064,1.80401547901839
"Kodak_M1063_2_11064.dat",-2147483584,2147482819,-7512465.28466281,624960.5,1239438180.37487,-9.18606604183731e-05,1.80494191558657
"Kodak_M1063_2_11066.dat",-2147483580,2147483586,-8278358.71519392,303297,1239640097.67768,-0.000109883354252766,1.8046834193095
"Kodak_M1063_2_11115.dat",-2147483583,2147482947,-8720683.27224434,51011.5,1239534170.29211,0.000895100855829799,1.80476825714564
"Kodak_M1063_2_11116.dat",-2147483583,2147483203,-8277423.60107137,471682.5,1239581901.86979,-0.000163961775919543,1.80447678398149
"Kodak_M1063_2_11117.dat",-2147483581,2147482819,-7924569.89393487,527170,1239248891.24407,-5.78704306061583e-05,1.80529918516431
"Kodak_M1063_2_11118.dat",-2147483580,2147483331,-8293117.2514706,309697,1239206009.91197,0.000554120229383502,1.80532372439856
"Kodak_M1063_2_11119.dat",-2147483583,2147483587,-8392731.32585534,477954,1239376859.33181,0.000101665097729195,1.80490176497077
"Kodak_M1063_2_11120.dat",-2147483580,2147483202,-7614735.3715848,447107,1239239761.51,3.00388141169484e-05,1.80570779559523
"Kodak_M1063_2_11121.dat",-2147483586,2147483587,-7974916.09634011,547970.5,1239431717.97018,8.40653312551408e-05,1.80514835812845
"Kodak_M1063_2_11124.dat",-2147483583,2147482947,-8085466.79130589,652736,1239250975.75304,-0.00016587345443071,1.80515312068779
"Kodak_M1063_2_11125.dat",-2147483583,2147483459,-8157591.8986414,185282,1239345047.27957,0.000467787113066157,1.80520772162775
"Kodak_M1063_2_11217.dat",-2147483453,2147482563,-8274234.59086481,608259.5,1239390239.22288,6.32086718468228e-06,1.80498563557424
"Kodak_M1063_2_11218.dat",-2147483583,2147483458,-7677925.18098916,891968.5,1239324854.47893,-0.000430511689226464,1.80493003877047
"Kodak_M1063_2_11219.dat",-2147483581,2147482691,-7548384.97039043,878465,1239318723.15446,-0.000658464633399809,1.80533966245966
"Kodak_M1063_2_11220.dat",-2147483583,2147483587,-7847160.61469109,767745,1239295009.60007,-5.12075776459984e-05,1.80533535623358
"Kodak_M1063_2_11221.dat",-2147483581,2147483331,-8284702.22459089,340035,1239167446.34959,-7.58683082020388e-06,1.80517463677023
"Kodak_M1063_2_11222.dat",-2147483324,2147482818,-8167972.37122319,447809.5,1239556787.54499,0.000386930005109387,1.80457678614801
"Kodak_M1063_2_11223.dat",-2147483583,2147483201,-7475294.74167914,832323,1239486388.93798,-0.000502178720529193,1.80477090996484
"Kodak_M1063_2_11224.dat",-2147483582,2147482819,-7613488.14788753,724162,1239432387.52015,-0.000437212751710393,1.80479109642722
"Kodak_M1063_2_11225.dat",-2147483580,2147483459,-7947197.37711552,465217.5,1239491205.81891,-1.58116841694559e-05,1.80464233422753
"Kodak_M1063_2_11226.dat",-2147483581,2147482307,-8108698.92822986,220611.5,1239300875.59432,0.000640077830615891,1.80550465022565
"Kodak_M1063_2_11227.dat",-2147483583,2147483075,-8182237.55078505,590723.5,1239697888.04583,0.000102926609018676,1.80453037469524
"Kodak_M1063_2_11228.dat",-2147483581,2147483331,-8335534.49503847,422913.5,1239438663.34769,0.000337815605897339,1.80478374479059
"Kodak_M1063_2_11229.dat",-2147483580,2147482179,-8194031.77169363,512130,1239333538.4036,0.000179166934628198,1.80527084215017
"Kodak_M1063_2_11298.dat",-2147483329,2147483331,-8804407.68723691,57338.5,1239394381.27454,0.00085678731043039,1.80506889788736
"Kodak_M1063_2_11299.dat",-2147483585,2147483203,-8080122.29965461,522943.5,1239669249.15332,0.000639500466053046,1.80450858553147
"Kodak_M1063_2_11300.dat",-2147483583,2147483459,-8146176.68522785,476161.5,1239566564.64363,0.000230439289598424,1.80498336761489
"Kodak_M1063_2_11301.dat",-2147483581,2147483586,-7487540.56662736,936578.5,1239538803.92308,-0.000512797536621506,1.80480130458908
"Kodak_M1063_2_11302.dat",-2147483579,2147483586,-7729056.58407295,887555,1239106807.69582,-0.000115077578809529,1.80533546992308
"Kodak_M1063_2_11303.dat",-2147483581,2147483330,-7624890.20331023,1088192.5,1239278282.14492,-0.000858956677120085,1.80523206056934
"Kodak_M1063_2_11304.dat",-2147483585,2147483329,-8655244.15062359,61625,1239464973.87838,0.000874744582738643,1.80455635024219
"Kodak_M1063_2_11305.dat",-2147483580,2147482691,-8373346.90773982,111810.5,1239239440.45524,0.00075619710004268,1.80557748543791
"Kodak_M1063_2_11306.dat",-2147483583,2147483586,-7818425.5647282,612160.5,1239395733.98426,-0.00021291188842522,1.80508726456887
"Kodak_M1063_2_11307.dat",-2147483580,2147482947,-7997624.09561479,464640.5,1239489327.52274,0.000129941437889839,1.80478863526959
"Kodak_M1063_2_11308.dat",-2147483581,2147483587,-7562848.65223726,743169.5,1239439641.7227,-0.000180366047380215,1.80465078939035
"Kodak_M1063_2_11309.dat",-2147483452,2147483459,-8080541.29244423,775491.5,1239658623.46964,-0.000200399988310106,1.80417145877674
"Kodak_M1063_3_11379.dat",-2147483583,2147483586,-7699543.91372422,1058690.5,1239288484.682,-0.000809992928398017,1.80513029913575
"Kodak_M1063_3_11380.dat",-2147483583,2147483460,-8677909.5643998,97089,1239143335.00509,0.000772811361348903,1.80541398477782
"Kodak_M1063_3_11381.dat",-2147483580,2147483075,-7979594.85366084,388160.5,1239342323.53963,0.000195531691435975,1.80488627835256
"Kodak_M1063_3_11382.dat",-2147483582,2147483458,-8050773.69362792,531776.5,1239601699.36353,0.000185594126609773,1.80466033125783
"Kodak_M1063_3_11383.dat",-2147483581,2147482564,-7862373.59069111,726724,1239163389.21815,-1.39888540289058e-05,1.80499513065268
"Kodak_M1063_3_11384.dat",-2147483582,2147482947,-8174591.09590639,192768,1239275401.1427,0.00063250680257152,1.80498943720228
"Kodak_M1063_3_11385.dat",-2147483455,2147483586,-8208045.06619865,534018,1239474075.4982,-2.20882586506522e-05,1.80488923989264
"Kodak_M1063_3_11386.dat",-2147483581,2147483329,-8027434.32908804,819840,1239485343.43986,-0.000294950925898609,1.80481586398876
"Kodak_M1063_3_11387.dat",-2147483452,2147482945,-7953033.17421275,597315,1239962765.24506,8.73148511391613e-05,1.80406676202687
"Kodak_M1063_3_11388.dat",-2147483584,2147483586,-8402549.78996366,302976.5,1239538293.06813,0.000253856912719472,1.80428584881183
"Kodak_M1063_3_11389.dat",-2147483580,2147483329,-8118458.57426436,647488.5,1239360693.87564,-4.93875032548383e-06,1.80499094393666
"Kodak_M1063_3_11390.dat",-2147483452,2147482947,-7965475.67100741,543167.5,1239062117.6724,-0.000177863050984378,1.8057846507758
"Kodak_M1063_3_11427.dat",-2147483585,2147482817,-8023790.73167201,472321.5,1239254538.1269,8.8656720772506e-05,1.80521684004825
"Kodak_M1063_3_11428.dat",-2147483583,2147483459,-7820843.76974893,689475.5,1239329531.21065,-0.000413132970794438,1.80529402285924
"Kodak_M1063_3_11429.dat",-2147483584,2147483459,-8347792.39802642,458882,1239244096.30836,-3.0811171392827e-05,1.80514218299132
"Kodak_M1063_3_11433.dat",-2147483583,2147482562,-7556041.34464565,971135.5,1239378767.40797,-0.000651792180873253,1.80482172411545
"Kodak_M1063_3_11434.dat",-2147483453,2147483459,-7435724.62878685,1029950.5,1239535163.77241,-0.000648797748199681,1.8047440157281
"Kodak_M1063_3_11435.dat",-2147483581,2147482947,-7761419.49720936,764352.5,1239593473.4409,-0.000358208037659122,1.80480798612001
"Kodak_M1063_3_11436.dat",-2147483457,2147483459,-8283522.38781917,273219.5,1239194509.78998,0.000479468996916087,1.80528344950323
"Kodak_M1063_3_11437.dat",-2147483586,2147483587,-8301985.9596123,419201.5,1239591237.63254,0.000344741314740347,1.80457449891945
"Kodak_M1063_3_11758.dat",-2147483580,2147483588,-7887689.99966599,631873,1239225143.45099,-5.67762946927418e-05,1.80521977507629
"Kodak_M1063_3_11759.dat",-2147483583,2147483458,-8552014.02459525,315327,1239195855.05622,0.000248146173491244,1.80554903389523
"Kodak_M1063_3_11760.dat",-2147483580,2147483587,-8013650.89640471,498947,1239513336.24954,3.72028220332487e-05,1.80452547255957
"Kodak_M1063_3_11761.dat",-2147483454,2147483459,-8370138.38386229,296450,1239411785.82316,0.000378012951875248,1.8047614014998
"Kodak_M1063_3_11762.dat",-2147483584,2147483460,-7500538.97517905,936770,1239381438.8733,-0.000698571143715998,1.80528148156237
"Kodak_M1063_3_11763.dat",-2147483584,2147483586,-7044977.96511134,896576,1239626733.63998,-0.000817052433501227,1.80463950622428
"Kodak_M1063_3_11813.dat",-2147483585,2147483460,-8174207.92069441,537152,1239658311.95925,0.000293369962825565,1.80422967140876
"Kodak_M1063_3_11814.dat",-2147483452,2147482947,-7748941.319089,537156,1239236886.79091,-0.000234178941515814,1.80552730687414
"Kodak_M1063_3_11815.dat",-2147483586,2147482947,-7495020.28334948,871168.5,1239376995.64705,-0.000797324193142957,1.80504457312895
"Kodak_M1063_3_11816.dat",-2147483580,2147483331,-7858412.12064307,901055.5,1239383400.6884,-0.000465903281293076,1.80516056901826
